REG_ANS;ValorDespesas;Ano;Trimestre
313211;145502.72;2025;1
313211;145502.72;2025;1
313211;5081.45;2025;1
313211;5081.45;2025;1
313211;19395.34;2025;1
313211;19395.34;2025;1
314668;340019.68;2025;1
314668;3364.62;2025;1
314668;336655.06;2025;1
314668;14379437.35;2025;1
314668;25216705.29;2025;1
314668;24888641.68;2025;1
314668;328063.61;2025;1
314668;136363.21;2025;1
314668;0.0;2025;1
314668;136363.21;2025;1
315044;52733.79;2025;1
315044;0.0;2025;1
315044;52733.79;2025;1
315044;3596105.92;2025;1
315044;22246138.76;2025;1
315044;21883543.18;2025;1
315044;362595.58;2025;1
315044;10393.34;2025;1
315494;8298927.19;2025;1
315494;8208157.43;2025;1
315494;5320074.25;2025;1
315494;5320074.25;2025;1
315494;1584.16;2025;1
315494;181396.96;2025;1
315494;512.09;2025;1
315494;8386.82;2025;1
315494;428905.04;2025;1
315494;16068.37;2025;1
315494;1600728.17;2025;1
315494;6746.51;2025;1
315494;31333.81;2025;1
315494;3280404.49;2025;1
315494;6525.0;2025;1
315494;144197.8;2025;1
315494;4320.0;2025;1
315494;7745.0;2025;1
315494;286083.4;2025;1
315494;515.96;2025;1
315494;110.25;2025;1
315494;115.0;2025;1
315494;22219.34;2025;1
315494;495982.28;2025;1
315494;230.0;2025;1
315494;27663.97;2025;1
315494;3513038.93;2025;1
315494;579094.72;2025;1
315494;579094.72;2025;1
315494;579094.72;2025;1
315494;2281930.47;2025;1
315494;2281930.47;2025;1
315494;211.43;2025;1
315494;877716.69;2025;1
315494;6.3;2025;1
315494;44744.94;2025;1
315494;1359251.11;2025;1
315494;27057.99;2025;1
315494;27057.99;2025;1
315494;27057.99;2025;1
315494;90769.76;2025;1
315494;90769.76;2025;1
315796;106013723.71;2025;1
315796;105321086.75;2025;1
315796;55858874.14;2025;1
315796;55858874.14;2025;1
315796;107334.65;2025;1
315796;12850381.36;2025;1
315796;110913.78;2025;1
315796;5810653.48;2025;1
315796;11694320.92;2025;1
315796;43832.38;2025;1
315796;6914009.64;2025;1
315796;66856.01;2025;1
315796;3030710.09;2025;1
315796;5647937.15;2025;1
315796;175878.25;2025;1
315796;11119272.8;2025;1
315796;172301.4;2025;1
315796;3837758.86;2025;1
315796;7923134.37;2025;1
317144;628048750.62;2025;1
317144;630464217.6;2025;1
317144;281646263.32;2025;1
317144;281646263.32;2025;1
317144;4491189.36;2025;1
317144;0.0;2025;1
317144;57552643.2;2025;1
317144;0.0;2025;1
317144;207001.29;2025;1
317144;33926639.44;2025;1
317144;0.0;2025;1
317144;3924013.8;2025;1
317144;47607389.71;2025;1
317144;0.0;2025;1
317144;7489309.48;2025;1
317144;564.0;2025;1
317144;73832050.99;2025;1
317144;581507.81;2025;1
317144;147876.79;2025;1
317144;39625791.48;2025;1
317144;99607.75;2025;1
317144;273283.27;2025;1
317144;43087422.82;2025;1
317144;40456.33;2025;1
317144;1003.11;2025;1
317144;160577.16;2025;1
317144;71334751.73;2025;1
317144;9902.04;2025;1
317144;9297.68;2025;1
317144;10119509.05;2025;1
317144;10119509.05;2025;1
317144;0.0;2025;1
317144;0.0;2025;1
317144;0.0;2025;1
317144;0.0;2025;1
317144;0.0;2025;1
317144;179759.68;2025;1
317896;8922170.38;2025;1
317896;9288864.01;2025;1
317896;5524905.68;2025;1
317896;5524905.68;2025;1
317896;11893.94;2025;1
317896;2498416.31;2025;1
